,year,quarter,month,latitude,longitude,depth,magnitude,dayPeriod,earthquakeCategory,depthCategory,area,cluster1_5
224,2015.0,3,7.0,-7.693991661,107.3631134,29.0,3.575423233,Night,Minor,Shallow,2,0
225,2015.0,3,7.0,-8.139395714,113.9267273,10.0,2.551413776,Evening,Micro,Shallow,0,2
226,2015.0,3,7.0,-7.330509186,105.7465515,10.0,3.405536251,Afternoon,Minor,Shallow,2,4
227,2015.0,3,7.0,-8.443491936,109.2687225,31.0,3.59728216,Afternoon,Minor,Shallow,3,4
228,2015.0,3,8.0,-8.897553444,110.9007111,14.0,4.694069277,Evening,Light,Shallow,0,2
229,2015.0,3,8.0,-7.737484455,110.6858215,22.0,3.778510623,Evening,Minor,Shallow,0,2
230,2015.0,3,8.0,-8.479881287,110.769043,11.0,2.957345865,Evening,Micro,Shallow,0,2
231,2015.0,3,8.0,-8.228230476,107.2073822,24.0,4.700867513,Dawn,Light,Shallow,3,4
232,2015.0,3,8.0,-8.481114388,111.1421432,60.0,3.401416525,Night,Minor,Shallow,0,2
233,2015.0,3,8.0,-7.215166569,108.2707977,10.0,2.394091306,Night,Micro,Shallow,1,2
234,2015.0,3,8.0,-8.588745117,108.8813171,36.0,4.642019939,Afternoon,Light,Shallow,3,4
235,2015.0,3,8.0,-8.199050903,107.8302307,10.0,3.391257414,Morning,Minor,Shallow,3,0
236,2015.0,3,8.0,-6.757233143,107.7714844,10.0,3.194677931,Evening,Minor,Shallow,1,2
237,2015.0,3,8.0,-6.762644291,107.7621384,10.0,3.44133061,Night,Minor,Shallow,1,2
238,2015.0,3,8.0,-8.977157593,110.0152206,14.0,2.944535301,Morning,Micro,Shallow,0,2
239,2015.0,3,8.0,-8.798821449,112.4951935,49.0,3.887839072,Afternoon,Minor,Shallow,0,3
240,2015.0,3,8.0,-8.860304832,110.2171326,10.0,3.637341618,Afternoon,Minor,Shallow,0,3
241,2015.0,3,8.0,-8.283639908,111.6825256,19.0,2.994103176,Morning,Micro,Shallow,0,2
242,2015.0,3,8.0,-8.402950287,113.9321136,10.0,2.857074744,Afternoon,Micro,Shallow,0,3
243,2015.0,3,8.0,-6.909063816,108.298996,10.0,3.280555728,Morning,Minor,Shallow,1,2
244,2015.0,3,8.0,-8.774476051,111.778595,89.0,3.486430567,Evening,Minor,Intermediate,0,1
245,2015.0,3,8.0,-8.734259605,110.0016937,10.0,4.295610254,Morning,Light,Shallow,0,2
246,2015.0,3,8.0,-7.621058941,111.8776016,10.0,2.350923637,Evening,Micro,Shallow,0,2
247,2015.0,3,8.0,-7.627797127,111.8920822,10.0,2.809951643,Dawn,Micro,Shallow,0,3
248,2015.0,3,8.0,-7.765570641,111.7524643,11.0,2.637497006,Dawn,Micro,Shallow,0,3
249,2015.0,3,8.0,-8.703373909,112.178894,94.0,3.237794527,Afternoon,Minor,Intermediate,0,1
250,2015.0,3,8.0,-8.284108162,111.7907486,111.0,2.98927604,Evening,Micro,Intermediate,0,1
251,2015.0,3,8.0,-7.643602848,111.7858963,10.0,3.573460227,Night,Minor,Shallow,0,2
252,2015.0,3,8.0,-7.740005493,111.7332687,10.0,2.848844787,Night,Micro,Shallow,0,2
253,2015.0,3,8.0,-7.756830692,111.742836,10.0,2.835030367,Morning,Micro,Shallow,0,2
254,2015.0,3,8.0,-8.17279911,107.8776398,18.0,4.397396278,Evening,Light,Shallow,3,0
255,2015.0,3,8.0,-8.255628586,107.8151016,10.0,4.046552755,Afternoon,Light,Shallow,3,4
